"checklist_id" "observer_id" "sampling_event_identifier" "species_observed" "state_code" "locality_id" "latitude" "longitude" "protocol_type" "all_species_reported" "observation_date" "time_observations_started" "duration_minutes" "effort_distance_km" "number_observers" "norbob" "whiibi" "woothr" "bbs"
"S45212780" "obs244796" "S45212780" FALSE "US-VA" "L4624626" 37.2486254 -76.8576479 "Traveling" TRUE "2018-05-03" 8 150 2.414 1 0 0 0 0
"S45134745" "obs175724" "S45134745" FALSE "US-GA" "L2165621" 32.3623458 -81.7860889 "Stationary" TRUE "2018-05-01" 8.98333333333333 6 0 1 0 0 0 0
"S45218399" "obs1084105" "S45218399" FALSE "US-GA" "L7328352" 32.017071 -83.054092 "Stationary" TRUE "2018-05-03" 13.85 60 0 1 0 0 0 0
"S45236212" "obs393635" "S45236212" FALSE "US-MS" "L7024565" 33.4174452 -89.2692787 "Traveling" TRUE "2018-05-03" 9.66666666666667 110 4.828 1 0 0 NA 0
"S45236212" "obs393635" "S45236212" TRUE "US-MS" "L7024565" 33.4174452 -89.2692787 "Traveling" TRUE "2018-05-03" 9.66666666666667 110 4.828 1 NA NA 2 0
"S45198358" "obs971225" "S45198358" FALSE "US-VA" "L6652937" 38.22404 -77.356777 "Traveling" TRUE "2018-05-02" 22.05 15 0.402 1 0 0 0 0
"S45135837" "obs333452" "S45135837" TRUE "US-NC" "L2868758" 35.1483431 -76.6447985 "Traveling" TRUE "2018-05-01" 9.55 8 2.575 1 1 NA NA 0
"S45135837" "obs333452" "S45135837" FALSE "US-NC" "L2868758" 35.1483431 -76.6447985 "Traveling" TRUE "2018-05-01" 9.55 8 2.575 1 NA 0 0 0
"S45132749" "obs16673" "S45132749" FALSE "US-NC" "L4538799" 35.9051113 -78.1128895 "Stationary" TRUE "2018-05-01" 7.23333333333333 27 0 1 0 0 NA 0
"S45132749" "obs16673" "S45132749" TRUE "US-NC" "L4538799" 35.9051113 -78.1128895 "Stationary" TRUE "2018-05-01" 7.23333333333333 27 0 1 NA NA 2 0
"S45161390" "obs196189" "S45161390" FALSE "US-GA" "L109172" 33.3855863 -81.96069 "Traveling" TRUE "2018-05-01" 13.3333333333333 112 3.219 1 0 NA 0 0
"S45161390" "obs196189" "S45161390" TRUE "US-GA" "L109172" 33.3855863 -81.96069 "Traveling" TRUE "2018-05-01" 13.3333333333333 112 3.219 1 NA 5 NA 0
"S45141599" "obs473702" "S45141599" FALSE "US-GA" "L191490" 31.2385637 -81.2987423 "Traveling" TRUE "2018-05-01" 10.5 100 4 4 0 0 0 0
"S45228334" "obs259382" "S45228334" FALSE "US-GA" "L3242960" 30.9550209 -82.8836417 "Stationary" TRUE "2018-05-03" 15 60 0 1 0 0 0 0
"S45232662" "obs626362" "S45232662" FALSE "US-FL" "L3649552" 30.1410681 -81.6564766 "Stationary" TRUE "2018-05-03" 11.4166666666667 5 0 1 0 0 0 0
"S45220754" "obs555245" "S45220754" FALSE "US-FL" "L4129777" 30.4752537 -84.2664971 "Stationary" TRUE "2018-05-03" 14.4333333333333 44 0 1 0 0 0 0
"S45153333" "obs279697" "S45153333" FALSE "US-GA" "L1283170" 30.7367824 -83.5098267 "Traveling" TRUE "2018-05-01" 17.05 91 2.366 1 0 0 0 0
"S45226483" "obs60228" "S45226483" FALSE "US-GA" "L7354848" 30.777973 -81.463238 "Traveling" TRUE "2018-05-03" 17.4166666666667 37 2.013 1 0 0 0 0
"S45167791" "obs544646" "S45167791" FALSE "US-NC" "L3869179" 35.6528677 -77.4561024 "Traveling" TRUE "2018-05-02" 7.1 20 0.805 1 0 0 NA 0
"S45167791" "obs544646" "S45167791" TRUE "US-NC" "L3869179" 35.6528677 -77.4561024 "Traveling" TRUE "2018-05-02" 7.1 20 0.805 1 NA NA 4 0
"S45152044" "obs239991" "S45152044" FALSE "US-TN" "L7316862" 35.5001174 -89.2653108 "Traveling" TRUE "2018-05-01" 16.0333333333333 48 2.269 1 0 0 0 0
"S45136079" "obs141379" "S45136079" FALSE "US-FL" "L3316416" 30.4514143 -84.2860413 "Traveling" TRUE "2018-05-01" 9.55 16 1.294 1 0 0 0 0
"S45219826" "obs46468" "S45219826" FALSE "US-FL" "L803570" 30.3293005 -81.410113 "Stationary" TRUE "2018-05-03" 9.5 60 0 1 0 0 0 0
"S45133776" "obs791499" "S45133776" FALSE "US-FL" "L7248194" 30.471774 -84.242188 "Stationary" TRUE "2018-05-01" 7.41666666666667 60 0 1 0 0 0 0
"S45183524" "obs132896" "S45183524" FALSE "US-MS" "L7321508" 33.4148006 -88.7143928 "Traveling" TRUE "2018-05-02" 14.6166666666667 30 1.32 1 0 0 0 0
"S45139137" "obs194026" "S45139137" FALSE "US-VA" "L689835" 36.7903417 -75.9870565 "Traveling" TRUE "2018-05-01" 9.66666666666667 106 1.609 2 0 0 NA 0
"S45139137" "obs194026" "S45139137" TRUE "US-VA" "L689835" 36.7903417 -75.9870565 "Traveling" TRUE "2018-05-01" 9.66666666666667 106 1.609 2 NA NA 1 0
"S45143700" "obs295637" "S45143700" FALSE "US-SC" "L2025528" 33.0783812 -80.0105014 "Stationary" TRUE "2018-05-01" 7.5 5 0 1 0 0 0 0
"S45135609" "obs665305" "S45135609" FALSE "US-AL" "L5282730" 32.3804326 -86.2308741 "Stationary" TRUE "2018-05-01" 8.06666666666667 10 0 1 0 0 0 0
"S45210894" "obs290599" "S45210894" FALSE "US-AL" "L7175671" 31.2185244 -85.2482676 "Traveling" TRUE "2018-05-03" 8.98333333333333 12 0.241 1 0 0 0 0
"S45133144" "obs121034" "S45133144" FALSE "US-VA" "L3326465" 37.252044 -76.685906 "Stationary" TRUE "2018-05-01" 7.78333333333333 10 0 1 0 0 0 0
"S45198407" "obs555245" "S45198407" FALSE "US-FL" "L4129777" 30.4752537 -84.2664971 "Traveling" TRUE "2018-05-02" 7.56666666666667 81 0.161 1 0 0 NA 0
"S45198407" "obs555245" "S45198407" TRUE "US-FL" "L4129777" 30.4752537 -84.2664971 "Traveling" TRUE "2018-05-02" 7.56666666666667 81 0.161 1 NA NA 1 0
"S45158425" "obs555245" "S45158425" FALSE "US-FL" "L4129777" 30.4752537 -84.2664971 "Traveling" TRUE "2018-05-01" 8.18333333333333 77 0.161 1 0 0 0 0
"S45213413" "obs143809" "S45213413" FALSE "US-MS" "L1028832" 34.9895739 -88.3355284 "Traveling" TRUE "2018-05-03" 7.71666666666667 145 3.444 1 0 0 NA 0
"S45213413" "obs143809" "S45213413" TRUE "US-MS" "L1028832" 34.9895739 -88.3355284 "Traveling" TRUE "2018-05-03" 7.71666666666667 145 3.444 1 NA NA 1 0
"S45170823" "obs340054" "S45170823" TRUE "US-FL" "L2179638" 30.5094771 -84.5107841 "Traveling" TRUE "2018-05-02" 8.6 82 3.106 1 1 NA NA 0
"S45170823" "obs340054" "S45170823" FALSE "US-FL" "L2179638" 30.5094771 -84.5107841 "Traveling" TRUE "2018-05-02" 8.6 82 3.106 1 NA 0 0 0
"S45146805" "obs772418" "S45146805" FALSE "US-VA" "L7316014" 36.77585 -76.159704 "Traveling" TRUE "2018-05-01" 12.3166666666667 172 2.293 2 0 0 0 0
"S45143196" "obs564286" "S45143196" FALSE "US-SC" "L6353760" 32.986173 -80.070704 "Traveling" TRUE "2018-05-01" 11.9166666666667 81 1.609 1 0 0 0 0
"S45222650" "obs121034" "S45222650" FALSE "US-VA" "L290533" 37.3182095 -76.8001624 "Traveling" TRUE "2018-05-03" 12.5166666666667 52 1.207 1 0 0 NA 0
"S45222650" "obs121034" "S45222650" TRUE "US-VA" "L290533" 37.3182095 -76.8001624 "Traveling" TRUE "2018-05-03" 12.5166666666667 52 1.207 1 NA NA 1 0
"S45155563" "obs927663" "S45155563" FALSE "US-MS" "L5938310" 34.5091761 -88.2088315 "Stationary" TRUE "2018-05-01" 18.0833333333333 31 0 1 0 0 0 0
"S45206122" "obs320078" "S45206122" TRUE "US-SC" "L1853556" 32.5834992 -80.5600725 "Traveling" TRUE "2018-05-01" 17.0833333333333 55 3.621 1 1 NA NA 0
"S45206122" "obs320078" "S45206122" FALSE "US-SC" "L1853556" 32.5834992 -80.5600725 "Traveling" TRUE "2018-05-01" 17.0833333333333 55 3.621 1 NA 0 0 0
"S45139595" "obs385339" "S45139595" FALSE "US-SC" "L7314847" 32.665843 -80.755437 "Stationary" TRUE "2018-05-01" 10.2166666666667 86 0 1 0 NA 0 0
"S45139595" "obs385339" "S45139595" TRUE "US-SC" "L7314847" 32.665843 -80.755437 "Stationary" TRUE "2018-05-01" 10.2166666666667 86 0 1 NA 5 NA 0
"S45139699" "obs179391" "S45139699" FALSE "US-MS" "L6452139" 34.277875 -89.228792 "Traveling" TRUE "2018-05-01" 8.36666666666667 141 3.188 1 0 0 0 0
"S45138747" "obs211084" "S45138747" FALSE "US-GA" "L1407260" 33.3195505 -82.0059612 "Stationary" TRUE "2018-05-01" 9.9 80 0 1 0 0 0 0
"S45138855" "obs812708" "S45138855" FALSE "US-MS" "L281801" 32.5295196 -89.9382019 "Traveling" TRUE "2018-05-01" 8.1 83 2.049 1 0 0 0 0
"S45227406" "obs1009060" "S45227406" FALSE "US-SC" "L6815200" 33.574773 -79.060799 "Stationary" TRUE "2018-05-03" 18.4333333333333 15 0 2 0 0 0 0
"S45218986" "obs60228" "S45218986" FALSE "US-GA" "L7333962" 30.779705 -81.468528 "Stationary" TRUE "2018-05-03" 13.9666666666667 12 0 2 0 0 0 0
"S45219959" "obs346880" "S45219959" FALSE "US-NC" "L1826302" 34.2440524 -77.9254889 "Traveling" TRUE "2018-05-03" 9.75 90 1.127 1 0 0 0 0
"S45134710" "obs353448" "S45134710" FALSE "US-SC" "L7314070" 34.2544142 -80.6274176 "Traveling" TRUE "2018-05-01" 8 40 1.287 1 0 0 NA 0
"S45134710" "obs353448" "S45134710" TRUE "US-SC" "L7314070" 34.2544142 -80.6274176 "Traveling" TRUE "2018-05-01" 8 40 1.287 1 NA NA 1 0
"S45139191" "obs544646" "S45139191" FALSE "US-NC" "L3869179" 35.6528677 -77.4561024 "Traveling" TRUE "2018-05-01" 10.4 70 0.402 1 0 0 NA 0
"S45139191" "obs544646" "S45139191" TRUE "US-NC" "L3869179" 35.6528677 -77.4561024 "Traveling" TRUE "2018-05-01" 10.4 70 0.402 1 NA NA 2 0
"S45168120" "obs279697" "S45168120" TRUE "US-GA" "L1283170" 30.7367824 -83.5098267 "Traveling" TRUE "2018-05-02" 5.46666666666667 188 1.062 1 1 NA NA 0
"S45168120" "obs279697" "S45168120" FALSE "US-GA" "L1283170" 30.7367824 -83.5098267 "Traveling" TRUE "2018-05-02" 5.46666666666667 188 1.062 1 NA 0 0 0
"S45193475" "obs333452" "S45193475" TRUE "US-NC" "L2868758" 35.1483431 -76.6447985 "Traveling" TRUE "2018-05-02" 18.8166666666667 35 1.609 2 2 NA NA 0
"S45193475" "obs333452" "S45193475" FALSE "US-NC" "L2868758" 35.1483431 -76.6447985 "Traveling" TRUE "2018-05-02" 18.8166666666667 35 1.609 2 NA 0 0 0
"S45192096" "obs963509" "S45192096" FALSE "US-VA" "L6298953" 36.798781 -76.31727 "Stationary" TRUE "2018-05-02" 18.2166666666667 6 0 1 0 0 0 0
"S45144274" "obs175724" "S45144274" FALSE "US-GA" "L7315608" 32.393902 -81.772346 "Stationary" TRUE "2018-05-01" 13.8666666666667 2 0 1 0 0 0 0
"S45168691" "obs328032" "S45168691" FALSE "US-NC" "L579948" 34.6921211 -77.087245 "Traveling" TRUE "2018-05-02" 7.16666666666667 101 3.518 2 0 0 0 0
"S45206551" "obs1027359" "S45206551" FALSE "US-VA" "L6932810" 37.5217419 -77.1444726 "Stationary" TRUE "2018-05-03" 7.33333333333333 22 0 1 0 0 0 0
"S45134945" "obs1073316" "S45134945" FALSE "US-NC" "L1474455" 36.0725753 -75.7189354 "Traveling" TRUE "2018-05-01" 6.25 90 0.805 3 0 0 0 0
"S45206033" "obs940855" "S45206033" FALSE "US-FL" "L1395278" 29.6917868 -84.7880416 "Traveling" TRUE "2018-05-02" 15 90 2 2 0 0 0 0
"S45187683" "obs143809" "S45187683" FALSE "US-MS" "L7322862" 34.6195369 -88.3313523 "Traveling" TRUE "2018-05-02" 9.63333333333333 15 2.237 1 0 0 0 0
"S45213877" "obs277612" "S45213877" FALSE "US-NC" "L2782215" 35.7305583 -77.8902555 "Traveling" TRUE "2018-05-02" 11.35 77 2.414 1 0 0 0 0
"S45137265" "obs542151" "S45137265" FALSE "US-NC" "L2601163" 35.2570995 -75.5263833 "Stationary" TRUE "2018-05-01" 10.2833333333333 9 0 2 0 0 0 0
"S45214712" "obs226435" "S45214712" FALSE "US-MS" "L7327743" 33.4043611 -88.7106514 "Stationary" TRUE "2018-05-03" 9.13333333333333 37 0 1 0 0 0 0
"S45248735" "obs417231" "S45248735" FALSE "US-AL" "L7333155" 30.2505206 -88.0779608 "Traveling" TRUE "2018-05-04" 10.2666666666667 38 0.467 1 0 0 0 0
"S45261216" "obs365204" "S45261216" FALSE "US-FL" "L6942105" 30.4376843 -84.2415117 "Stationary" TRUE "2018-05-04" 18.1166666666667 2 0 1 0 0 0 0
"S45211215" "obs353448" "S45211215" FALSE "US-SC" "L1888631" 34.2676176 -80.6284785 "Traveling" TRUE "2018-05-03" 9.58333333333333 30 0.483 1 0 0 NA 0
"S45211215" "obs353448" "S45211215" TRUE "US-SC" "L1888631" 34.2676176 -80.6284785 "Traveling" TRUE "2018-05-03" 9.58333333333333 30 0.483 1 NA NA 1 0
"S45218603" "obs324130" "S45218603" FALSE "US-SC" "L450139" 32.1655799 -81.1152447 "Stationary" TRUE "2018-05-03" 13.25 44 0 1 0 0 0 0
"S45161077" "obs1052845" "S45161077" FALSE "US-SC" "L124353" 33.5083 -79.0659 "Traveling" TRUE "2018-05-01" 10.1833333333333 120 3.219 1 0 0 0 0
"S45139329" "obs584940" "S45139329" FALSE "US-VA" "L6814535" 36.846154 -76.390901 "Stationary" TRUE "2018-05-01" 11.0833333333333 20 0 1 0 0 0 0
"S45139618" "obs975986" "S45139618" FALSE "US-SC" "L6447056" 34.2676374 -80.6283972 "Traveling" TRUE "2018-05-01" 10.0666666666667 17 0.048 1 0 0 0 0
"S45143738" "obs369426" "S45143738" FALSE "US-VA" "L7315479" 37.2600043 -76.8801785 "Traveling" TRUE "2018-05-01" 7 180 1.609 2 0 0 0 0
"S45260008" "obs335351" "S45260008" FALSE "US-NC" "L130800" 35.7175756 -75.4985794 "Traveling" TRUE "2018-05-04" 9.5 90 0.805 1 0 NA 0 0
"S45260008" "obs335351" "S45260008" TRUE "US-NC" "L130800" 35.7175756 -75.4985794 "Traveling" TRUE "2018-05-04" 9.5 90 0.805 1 NA 1 NA 0
"S45171421" "obs857154" "S45171421" FALSE "US-MS" "L7319630" 31.2137381 -88.8832292 "Traveling" TRUE "2018-05-02" 9.23333333333333 2 0.901 1 0 0 0 0
"S45212254" "obs764660" "S45212254" FALSE "US-GA" "L109172" 33.3855863 -81.96069 "Traveling" TRUE "2018-05-03" 7.25 165 4.023 1 0 NA 0 0
"S45212254" "obs764660" "S45212254" TRUE "US-GA" "L109172" 33.3855863 -81.96069 "Traveling" TRUE "2018-05-03" 7.25 165 4.023 1 NA 19 NA 0
"S45158190" "obs1043757" "S45158190" FALSE "US-GA" "L7216377" 33.0688738 -83.2178575 "Stationary" TRUE "2018-05-01" 7.5 180 0 2 0 0 0 0
"S45188234" "obs223955" "S45188234" FALSE "US-SC" "L7322957" 33.307773 -80.389683 "Stationary" TRUE "2018-05-02" 13.5 120 0 1 0 0 0 0
"S45152949" "obs751369" "S45152949" FALSE "US-VA" "L7317003" 37.684763 -77.454707 "Traveling" TRUE "2018-05-01" 17.9666666666667 23 0.72 1 0 0 0 0
"S45225798" "obs132896" "S45225798" FALSE "US-MS" "L7329531" 34.5979384 -88.289572 "Traveling" TRUE "2018-05-03" 7.95 60 1.223 1 0 0 NA 0
"S45225798" "obs132896" "S45225798" TRUE "US-MS" "L7329531" 34.5979384 -88.289572 "Traveling" TRUE "2018-05-03" 7.95 60 1.223 1 NA NA 1 0
"S45201304" "obs996263" "S45201304" FALSE "US-FL" "L6817601" 30.1326477 -81.7939371 "Traveling" TRUE "2018-05-02" 19.8333333333333 20 0.805 1 0 0 0 0
"S45213540" "obs143809" "S45213540" FALSE "US-MS" "L4524651" 34.9642033 -88.3065536 "Traveling" TRUE "2018-05-03" 7.45 10 0.515 1 0 0 0 0
"S45257580" "obs442481" "S45257580" FALSE "US-NC" "L1152715" 34.4047321 -78.293016 "Traveling" TRUE "2018-05-04" 11.8833333333333 261 1.607 1 0 NA 0 0
"S45257580" "obs442481" "S45257580" TRUE "US-NC" "L1152715" 34.4047321 -78.293016 "Traveling" TRUE "2018-05-04" 11.8833333333333 261 1.607 1 NA 6 NA 0
"S45206814" "obs56279" "S45206814" FALSE "US-FL" "L258379" 30.3603891 -87.1975241 "Traveling" TRUE "2018-05-02" 7.5 180 0.483 2 0 0 0 0
"S45259956" "obs5281" "S45259956" FALSE "US-TN" "L7291758" 36.3178578 -88.9023048 "Stationary" TRUE "2018-05-04" 15.45 62 0 1 0 0 0 0
"S45218743" "obs538698" "S45218743" FALSE "US-FL" "L6361530" 29.9770871 -81.6932403 "Traveling" TRUE "2018-05-03" 13.5833333333333 28 0.44 1 0 0 0 0
"S45224511" "obs197280" "S45224511" FALSE "US-SC" "L6936703" 32.8978654 -79.911519 "Traveling" TRUE "2018-05-03" 17.05 2 0.483 1 0 0 0 0
"S45158793" "obs339128" "S45158793" FALSE "US-GA" "L4951493" 31.250045 -81.296743 "Traveling" TRUE "2018-05-01" 20.4666666666667 32 2.414 1 0 0 0 0
"S45211062" "obs124910" "S45211062" FALSE "US-GA" "L404708" 32.5365025 -84.9322128 "Traveling" TRUE "2018-05-03" 9.08333333333333 51 4.828 1 0 0 0 0
"S45192878" "obs433373" "S45192878" FALSE "US-SC" "L3069034" 32.8201719 -80.0574589 "Traveling" TRUE "2018-05-02" 18.5333333333333 63 3.187 1 0 0 0 0
"S45169848" "obs30647" "S45169848" FALSE "US-FL" "L7319379" 29.912779 -82.577811 "Traveling" TRUE "2018-05-02" 8.1 79 3.829 2 0 0 0 0
"S45243024" "obs17244" "S45243024" FALSE "US-FL" "L7332230" 30.302814 -81.39159 "Stationary" TRUE "2018-05-04" 8.66666666666667 21 0 1 0 0 0 0
"S45135380" "obs195623" "S45135380" FALSE "US-GA" "L7272661" 32.016251 -80.870451 "Traveling" TRUE "2018-05-01" 8.85 33 0.23 1 0 0 0 0
"S45147573" "obs332911" "S45147573" FALSE "US-FL" "L1657508" 30.3034419 -81.579693 "Stationary" TRUE "2018-05-01" 15.3166666666667 16 0 1 0 0 0 0
"S45134285" "obs580135" "S45134285" TRUE "US-NC" "L4708029" 36.5282604 -75.9890521 "Traveling" TRUE "2018-05-01" 7.06666666666667 85 3.589 1 1 NA NA 0
"S45134285" "obs580135" "S45134285" FALSE "US-NC" "L4708029" 36.5282604 -75.9890521 "Traveling" TRUE "2018-05-01" 7.06666666666667 85 3.589 1 NA 0 0 0
"S45139065" "obs408163" "S45139065" FALSE "US-MS" "L2125596" 34.3590167 -89.5239079 "Traveling" TRUE "2018-05-01" 9.13333333333333 75 1.483 1 0 0 NA 0
"S45139065" "obs408163" "S45139065" TRUE "US-MS" "L2125596" 34.3590167 -89.5239079 "Traveling" TRUE "2018-05-01" 9.13333333333333 75 1.483 1 NA NA 1 0
"S45211030" "obs1079921" "S45211030" FALSE "US-SC" "L7282535" 33.99078 -81.2258676 "Stationary" TRUE "2018-05-03" 10.25 3 0 1 0 0 0 0
"S45257609" "obs329553" "S45257609" FALSE "US-GA" "L5381900" 31.3724094 -81.4361666 "Stationary" TRUE "2018-05-04" 16.2333333333333 3 0 1 0 0 0 0
